rep	mean_score	MYCNA_score	4_score	4s_score	other_score	MYCNA_precision	4_precision	4s_precision	other_precision	MYCNA_recall	4_recall	4s_recall	other_recall	MYCNA_f1	4_f1	4s_f1	other_f1	MYCNA_support	4_support	4s_support	other_support
0	0.8120805369127517	0.9090909090909091	1.0	0.5294117647058824	0.32	0.967741935483871	0.7956989247311828	0.6923076923076923	0.6666666666666666	0.9090909090909091	1.0	0.5294117647058824	0.32	0.9374999999999999	0.8862275449101796	0.5999999999999999	0.43243243243243246	33	74	17	25
1	0.8120805369127517	0.9696969696969697	0.9594594594594594	0.5294117647058824	0.36	0.9696969696969697	0.8352941176470589	0.6	0.5625	0.9696969696969697	0.9594594594594594	0.5294117647058824	0.36	0.9696969696969697	0.8930817610062894	0.5625	0.43902439024390244	33	74	17	25
2	0.8456375838926175	0.9393939393939394	0.972972972972973	0.6470588235294118	0.48	0.96875	0.8674698795180723	0.7857142857142857	0.6	0.9393939393939394	0.972972972972973	0.6470588235294118	0.48	0.9538461538461539	0.9171974522292995	0.7096774193548386	0.5333333333333332	33	74	17	25
3	0.8322147651006712	0.9696969696969697	0.9594594594594594	0.5882352941176471	0.44	0.9142857142857143	0.8452380952380952	0.7692307692307693	0.6470588235294118	0.9696969696969697	0.9594594594594594	0.5882352941176471	0.44	0.9411764705882354	0.8987341772151899	0.6666666666666667	0.5238095238095238	33	74	17	25
4	0.785234899328859	0.8181818181818182	0.972972972972973	0.47058823529411764	0.4	1.0	0.7912087912087912	0.5	0.6666666666666666	0.8181818181818182	0.972972972972973	0.47058823529411764	0.4	0.9	0.8727272727272727	0.48484848484848486	0.5	33	74	17	25
5	0.7583892617449665	0.7878787878787878	0.9459459459459459	0.5294117647058824	0.32	0.8666666666666667	0.7954545454545454	0.5	0.6153846153846154	0.7878787878787878	0.9459459459459459	0.5294117647058824	0.32	0.8253968253968254	0.8641975308641975	0.5142857142857143	0.4210526315789474	33	74	17	25
6	0.87248322147651	0.9696969696969697	0.9864864864864865	0.8823529411764706	0.4	0.9696969696969697	0.8690476190476191	0.6818181818181818	1.0	0.9696969696969697	0.9864864864864865	0.8823529411764706	0.4	0.9696969696969697	0.9240506329113924	0.7692307692307693	0.5714285714285715	33	74	17	25
7	0.8120805369127517	0.9393939393939394	0.9864864864864865	0.4117647058823529	0.4	0.9393939393939394	0.7934782608695652	0.7777777777777778	0.6666666666666666	0.9393939393939394	0.9864864864864865	0.4117647058823529	0.4	0.9393939393939394	0.8795180722891566	0.5384615384615384	0.5	33	74	17	25
8	0.785234899328859	0.9090909090909091	0.9594594594594594	0.47058823529411764	0.32	0.967741935483871	0.797752808988764	0.6666666666666666	0.47058823529411764	0.9090909090909091	0.9594594594594594	0.47058823529411764	0.32	0.9374999999999999	0.8711656441717791	0.5517241379310345	0.38095238095238104	33	74	17	25
9	0.8187919463087249	0.8484848484848485	0.972972972972973	0.7647058823529411	0.36	0.9333333333333333	0.8181818181818182	0.6842105263157895	0.75	0.8484848484848485	0.972972972972973	0.7647058823529411	0.36	0.888888888888889	0.8888888888888891	0.7222222222222222	0.48648648648648657	33	74	17	25
10	0.7919463087248322	0.9393939393939394	0.9324324324324325	0.5882352941176471	0.32	0.9117647058823529	0.8313253012048193	0.6666666666666666	0.47058823529411764	0.9393939393939394	0.9324324324324325	0.5882352941176471	0.32	0.9253731343283583	0.8789808917197452	0.625	0.38095238095238104	33	74	17	25
11	0.8187919463087249	0.9393939393939394	0.972972972972973	0.7058823529411765	0.28	0.96875	0.8372093023255814	0.6	0.6363636363636364	0.9393939393939394	0.972972972972973	0.7058823529411765	0.28	0.9538461538461539	0.9	0.6486486486486486	0.3888888888888889	33	74	17	25
12	0.825503355704698	0.8484848484848485	1.0	0.7058823529411765	0.36	0.9655172413793104	0.7872340425531915	0.8571428571428571	0.75	0.8484848484848485	1.0	0.7058823529411765	0.36	0.9032258064516129	0.880952380952381	0.7741935483870968	0.48648648648648657	33	74	17	25
13	0.785234899328859	0.8181818181818182	0.9594594594594594	0.29411764705882354	0.56	0.9310344827586207	0.8352941176470589	0.5	0.56	0.8181818181818182	0.9594594594594594	0.29411764705882354	0.56	0.8709677419354839	0.8930817610062894	0.37037037037037035	0.56	33	74	17	25
14	0.8120805369127517	0.9090909090909091	0.9864864864864865	0.4117647058823529	0.44	0.967741935483871	0.8295454545454546	0.5833333333333334	0.6111111111111112	0.9090909090909091	0.9864864864864865	0.4117647058823529	0.44	0.9374999999999999	0.9012345679012347	0.4827586206896552	0.5116279069767442	33	74	17	25
15	0.8120805369127517	0.9090909090909091	0.9864864864864865	0.5882352941176471	0.32	0.967741935483871	0.8202247191011236	0.6666666666666666	0.5714285714285714	0.9090909090909091	0.9864864864864865	0.5882352941176471	0.32	0.9374999999999999	0.8957055214723927	0.625	0.41025641025641024	33	74	17	25
16	0.785234899328859	0.8484848484848485	0.972972972972973	0.5294117647058824	0.32	0.9333333333333333	0.8	0.6428571428571429	0.5333333333333333	0.8484848484848485	0.972972972972973	0.5294117647058824	0.32	0.888888888888889	0.8780487804878049	0.5806451612903226	0.4	33	74	17	25
17	0.785234899328859	0.8787878787878788	0.9864864864864865	0.5294117647058824	0.24	1.0	0.776595744680851	0.5294117647058824	0.6666666666666666	0.8787878787878788	0.9864864864864865	0.5294117647058824	0.24	0.9354838709677419	0.8690476190476191	0.5294117647058824	0.3529411764705882	33	74	17	25
18	0.785234899328859	0.8484848484848485	0.9594594594594594	0.4117647058823529	0.44	0.9032258064516129	0.7717391304347826	0.7	0.6875	0.8484848484848485	0.9594594594594594	0.4117647058823529	0.44	0.875	0.855421686746988	0.5185185185185185	0.5365853658536586	33	74	17	25
19	0.8053691275167785	0.9090909090909091	0.9864864864864865	0.6470588235294118	0.24	0.9375	0.8202247191011236	0.6111111111111112	0.6	0.9090909090909091	0.9864864864864865	0.6470588235294118	0.24	0.923076923076923	0.8957055214723927	0.6285714285714287	0.34285714285714286	33	74	17	25
20	0.785234899328859	0.8484848484848485	0.972972972972973	0.5294117647058824	0.32	0.9655172413793104	0.7422680412371134	0.8181818181818182	0.6666666666666666	0.8484848484848485	0.972972972972973	0.5294117647058824	0.32	0.9032258064516129	0.8421052631578948	0.6428571428571428	0.43243243243243246	33	74	17	25
21	0.7986577181208053	0.9393939393939394	0.9594594594594594	0.5294117647058824	0.32	0.9393939393939394	0.7888888888888889	0.6428571428571429	0.6666666666666666	0.9393939393939394	0.9594594594594594	0.5294117647058824	0.32	0.9393939393939394	0.8658536585365852	0.5806451612903226	0.43243243243243246	33	74	17	25
22	0.7986577181208053	0.9393939393939394	0.9864864864864865	0.47058823529411764	0.28	0.96875	0.7934782608695652	0.5714285714285714	0.6363636363636364	0.9393939393939394	0.9864864864864865	0.47058823529411764	0.28	0.9538461538461539	0.8795180722891566	0.5161290322580646	0.3888888888888889	33	74	17	25
23	0.8053691275167785	0.8484848484848485	1.0	0.47058823529411764	0.4	0.9655172413793104	0.8131868131868132	0.5714285714285714	0.6666666666666666	0.8484848484848485	1.0	0.47058823529411764	0.4	0.9032258064516129	0.896969696969697	0.5161290322580646	0.5	33	74	17	25
24	0.8187919463087249	0.8787878787878788	0.9864864864864865	0.6470588235294118	0.36	0.9666666666666667	0.8111111111111111	0.8461538461538461	0.5625	0.8787878787878788	0.9864864864864865	0.6470588235294118	0.36	0.9206349206349207	0.8902439024390244	0.7333333333333334	0.43902439024390244	33	74	17	25
25	0.825503355704698	0.9090909090909091	0.9459459459459459	0.6470588235294118	0.48	0.9375	0.8433734939759037	0.6875	0.6666666666666666	0.9090909090909091	0.9459459459459459	0.6470588235294118	0.48	0.923076923076923	0.8917197452229301	0.6666666666666667	0.5581395348837209	33	74	17	25
26	0.785234899328859	0.9090909090909091	0.9594594594594594	0.6470588235294118	0.2	0.9375	0.7717391304347826	0.6470588235294118	0.625	0.9090909090909091	0.9594594594594594	0.6470588235294118	0.2	0.923076923076923	0.855421686746988	0.6470588235294118	0.30303030303030304	33	74	17	25
27	0.8053691275167785	0.8181818181818182	0.972972972972973	0.7647058823529411	0.32	0.9642857142857143	0.8181818181818182	0.5416666666666666	0.8888888888888888	0.8181818181818182	0.972972972972973	0.7647058823529411	0.32	0.8852459016393442	0.8888888888888891	0.6341463414634146	0.47058823529411764	33	74	17	25
28	0.8120805369127517	0.8181818181818182	0.972972972972973	0.5882352941176471	0.48	1.0	0.8	0.7142857142857143	0.6666666666666666	0.8181818181818182	0.972972972972973	0.5882352941176471	0.48	0.9	0.8780487804878049	0.6451612903225806	0.5581395348837209	33	74	17	25
29	0.7449664429530202	0.7878787878787878	0.9324324324324325	0.35294117647058826	0.4	0.9285714285714286	0.7931034482758621	0.42857142857142855	0.5	0.7878787878787878	0.9324324324324325	0.35294117647058826	0.4	0.8524590163934426	0.8571428571428571	0.3870967741935484	0.4444444444444445	33	74	17	25
30	0.7986577181208053	0.8484848484848485	0.9459459459459459	0.7058823529411765	0.36	0.9333333333333333	0.7954545454545454	0.6666666666666666	0.6923076923076923	0.8484848484848485	0.9459459459459459	0.7058823529411765	0.36	0.888888888888889	0.8641975308641975	0.6857142857142857	0.47368421052631576	33	74	17	25
31	0.7919463087248322	0.8484848484848485	0.9594594594594594	0.5294117647058824	0.4	0.875	0.8068181818181818	0.6923076923076923	0.625	0.8484848484848485	0.9594594594594594	0.5294117647058824	0.4	0.8615384615384615	0.8765432098765431	0.5999999999999999	0.48780487804878053	33	74	17	25
32	0.7986577181208053	0.8787878787878788	0.972972972972973	0.7058823529411765	0.24	0.9354838709677419	0.8181818181818182	0.5714285714285714	0.6666666666666666	0.8787878787878788	0.972972972972973	0.7058823529411765	0.24	0.90625	0.8888888888888891	0.6315789473684211	0.3529411764705882	33	74	17	25
33	0.785234899328859	0.8787878787878788	0.9324324324324325	0.7058823529411765	0.28	0.90625	0.8117647058823529	0.5217391304347826	0.7777777777777778	0.8787878787878788	0.9324324324324325	0.7058823529411765	0.28	0.8923076923076922	0.8679245283018868	0.6	0.4117647058823529	33	74	17	25
34	0.825503355704698	0.9090909090909091	0.9594594594594594	0.5294117647058824	0.52	1.0	0.8554216867469879	0.75	0.5416666666666666	0.9090909090909091	0.9594594594594594	0.5294117647058824	0.52	0.9523809523809523	0.9044585987261146	0.6206896551724139	0.5306122448979592	33	74	17	25
35	0.7785234899328859	0.8787878787878788	0.9459459459459459	0.35294117647058826	0.44	0.8787878787878788	0.7865168539325843	0.8571428571428571	0.55	0.8787878787878788	0.9459459459459459	0.35294117647058826	0.44	0.8787878787878788	0.8588957055214724	0.5	0.48888888888888893	33	74	17	25
36	0.785234899328859	0.7575757575757576	0.9594594594594594	0.7058823529411765	0.36	0.9615384615384616	0.7802197802197802	0.6	0.75	0.7575757575757576	0.9594594594594594	0.7058823529411765	0.36	0.8474576271186441	0.8606060606060606	0.6486486486486486	0.48648648648648657	33	74	17	25
37	0.7651006711409396	0.9090909090909091	0.9459459459459459	0.5294117647058824	0.2	0.967741935483871	0.8235294117647058	0.45	0.38461538461538464	0.9090909090909091	0.9459459459459459	0.5294117647058824	0.2	0.9374999999999999	0.8805031446540881	0.48648648648648646	0.2631578947368421	33	74	17	25
38	0.8389261744966443	0.9090909090909091	0.972972972972973	0.7058823529411765	0.44	0.967741935483871	0.7912087912087912	0.8571428571428571	0.8461538461538461	0.9090909090909091	0.972972972972973	0.7058823529411765	0.44	0.9374999999999999	0.8727272727272727	0.7741935483870968	0.5789473684210525	33	74	17	25
39	0.7785234899328859	0.8484848484848485	0.9459459459459459	0.5294117647058824	0.36	1.0	0.7865168539325843	0.6428571428571429	0.5	0.8484848484848485	0.9459459459459459	0.5294117647058824	0.36	0.9180327868852458	0.8588957055214724	0.5806451612903226	0.41860465116279066	33	74	17	25
40	0.7516778523489933	0.7575757575757576	0.9324324324324325	0.7058823529411765	0.24	0.8620689655172413	0.7666666666666667	0.6666666666666666	0.5	0.7575757575757576	0.9324324324324325	0.7058823529411765	0.24	0.8064516129032258	0.8414634146341464	0.6857142857142857	0.32432432432432434	33	74	17	25
41	0.785234899328859	0.7878787878787878	0.9459459459459459	0.5882352941176471	0.44	0.9629629629629629	0.8045977011494253	0.6666666666666666	0.55	0.7878787878787878	0.9459459459459459	0.5882352941176471	0.44	0.8666666666666665	0.8695652173913044	0.625	0.48888888888888893	33	74	17	25
42	0.7583892617449665	0.7272727272727273	0.972972972972973	0.4117647058823529	0.4	0.9230769230769231	0.782608695652174	0.5384615384615384	0.5555555555555556	0.7272727272727273	0.972972972972973	0.4117647058823529	0.4	0.8135593220338984	0.8674698795180723	0.4666666666666667	0.46511627906976744	33	74	17	25
43	0.7986577181208053	0.9090909090909091	0.9594594594594594	0.5882352941176471	0.32	0.967741935483871	0.8255813953488372	0.7142857142857143	0.4444444444444444	0.9090909090909091	0.9594594594594594	0.5882352941176471	0.32	0.9374999999999999	0.8875000000000001	0.6451612903225806	0.37209302325581395	33	74	17	25
44	0.785234899328859	0.8181818181818182	0.918918918918919	0.8235294117647058	0.32	0.8709677419354839	0.8095238095238095	0.6666666666666666	0.6153846153846154	0.8181818181818182	0.918918918918919	0.8235294117647058	0.32	0.84375	0.860759493670886	0.7368421052631577	0.4210526315789474	33	74	17	25
45	0.825503355704698	0.9393939393939394	0.9459459459459459	0.7647058823529411	0.36	0.9117647058823529	0.8536585365853658	0.6190476190476191	0.75	0.9393939393939394	0.9459459459459459	0.7647058823529411	0.36	0.9253731343283583	0.8974358974358975	0.6842105263157895	0.48648648648648657	33	74	17	25
46	0.785234899328859	0.8484848484848485	0.972972972972973	0.6470588235294118	0.24	0.9333333333333333	0.8372093023255814	0.5	0.5454545454545454	0.8484848484848485	0.972972972972973	0.6470588235294118	0.24	0.888888888888889	0.9	0.5641025641025642	0.3333333333333333	33	74	17	25
47	0.8322147651006712	0.8484848484848485	0.9864864864864865	0.7647058823529411	0.4	1.0	0.8390804597701149	0.65	0.7142857142857143	0.8484848484848485	0.9864864864864865	0.7647058823529411	0.4	0.9180327868852458	0.906832298136646	0.7027027027027027	0.5128205128205129	33	74	17	25
48	0.7718120805369127	0.8484848484848485	0.9324324324324325	0.7058823529411765	0.24	0.9333333333333333	0.75	0.75	0.5454545454545454	0.8484848484848485	0.9324324324324325	0.7058823529411765	0.24	0.888888888888889	0.8313253012048193	0.7272727272727272	0.3333333333333333	33	74	17	25
