,TSS200,TSS,promoter,Body,3UTR,CGI_TSS200,CGI_promoter,CGI_Body,CGI_3UTR,CGI,shore,shelf,450k_Enhancer,Phantom4_Enhancers,Phantom5_Enhancers,DMR,RDMR,CDMR,HMM_Island,Regulatory_Feature,DNase_Hypersensitivity,OpenChromatin,TFBS_Evidence
10000,759.0,2043.0,3088.0,3790.0,478.0,143.0,372.0,813.0,63.0,1674.0,4045.0,5408.0,2811.0,152.0,185.0,150.0,386.0,172.0,3511.0,2004.0,5878.0,1643.0,1234.0
20000,694.0,2119.0,3109.0,3896.0,458.0,182.0,528.0,885.0,66.0,1952.0,4593.0,5787.0,2716.0,210.0,214.0,246.0,340.0,175.0,4043.0,2321.0,5867.0,1610.0,1289.0
30000,727.0,2211.0,3165.0,3836.0,409.0,251.0,637.0,852.0,54.0,2019.0,4651.0,5767.0,2513.0,256.0,203.0,237.0,347.0,161.0,4252.0,2507.0,5675.0,1601.0,1235.0
40000,764.0,2145.0,3180.0,3799.0,428.0,312.0,754.0,839.0,56.0,2153.0,4629.0,5748.0,2427.0,334.0,185.0,261.0,336.0,160.0,4380.0,2526.0,5645.0,1490.0,1301.0
50000,778.0,2174.0,3216.0,3788.0,465.0,346.0,807.0,766.0,56.0,2120.0,4593.0,5724.0,2401.0,364.0,196.0,304.0,331.0,159.0,4375.0,2556.0,5676.0,1407.0,1234.0
60000,798.0,2300.0,3306.0,3750.0,468.0,354.0,879.0,811.0,59.0,2173.0,4661.0,5792.0,2380.0,362.0,198.0,253.0,350.0,161.0,4333.0,2568.0,5662.0,1458.0,1256.0
70000,911.0,2364.0,3377.0,3795.0,412.0,465.0,998.0,836.0,65.0,2323.0,4698.0,5856.0,2350.0,404.0,193.0,319.0,294.0,156.0,4490.0,2775.0,5734.0,1417.0,1249.0
80000,915.0,2320.0,3354.0,3807.0,451.0,455.0,986.0,818.0,53.0,2288.0,4664.0,5798.0,2434.0,387.0,182.0,303.0,308.0,134.0,4447.0,2737.0,5673.0,1422.0,1245.0
90000,885.0,2235.0,3256.0,3820.0,475.0,456.0,1008.0,863.0,63.0,2391.0,4684.0,5814.0,2424.0,443.0,175.0,295.0,297.0,141.0,4615.0,2748.0,5675.0,1437.0,1306.0
100000,910.0,2376.0,3457.0,3827.0,423.0,495.0,1107.0,839.0,52.0,2416.0,4792.0,5876.0,2295.0,470.0,159.0,330.0,253.0,144.0,4584.0,2807.0,5701.0,1388.0,1262.0
110000,971.0,2295.0,3444.0,3827.0,428.0,517.0,1170.0,801.0,55.0,2491.0,4722.0,5867.0,2406.0,520.0,201.0,341.0,224.0,133.0,4545.0,2823.0,5684.0,1417.0,1223.0
120000,1052.0,2470.0,3571.0,3794.0,445.0,606.0,1203.0,797.0,56.0,2467.0,4763.0,5881.0,2368.0,513.0,184.0,340.0,253.0,135.0,4587.0,2899.0,5784.0,1351.0,1201.0
130000,1046.0,2495.0,3562.0,3848.0,416.0,582.0,1267.0,831.0,50.0,2567.0,4890.0,6024.0,2288.0,550.0,154.0,364.0,290.0,124.0,4672.0,2893.0,5661.0,1398.0,1198.0
140000,1012.0,2488.0,3614.0,3685.0,449.0,578.0,1249.0,786.0,50.0,2537.0,4855.0,5898.0,2377.0,542.0,159.0,305.0,277.0,148.0,4612.0,2864.0,5682.0,1312.0,1293.0
150000,1092.0,2568.0,3655.0,3754.0,414.0,637.0,1345.0,805.0,54.0,2573.0,4822.0,5904.0,2311.0,552.0,187.0,317.0,269.0,150.0,4594.0,2944.0,5746.0,1272.0,1166.0
160000,1050.0,2542.0,3705.0,3726.0,461.0,614.0,1357.0,829.0,62.0,2699.0,4906.0,5901.0,2321.0,564.0,167.0,354.0,259.0,134.0,4700.0,3076.0,5765.0,1352.0,1260.0
170000,1112.0,2568.0,3726.0,3785.0,428.0,674.0,1405.0,781.0,44.0,2625.0,4843.0,5973.0,2261.0,600.0,156.0,342.0,234.0,139.0,4701.0,3133.0,5787.0,1302.0,1239.0
180000,1148.0,2593.0,3693.0,3660.0,454.0,685.0,1409.0,802.0,53.0,2668.0,4891.0,5968.0,2283.0,554.0,155.0,333.0,231.0,139.0,4718.0,3061.0,5684.0,1288.0,1243.0
190000,1167.0,2699.0,3872.0,3740.0,418.0,696.0,1469.0,862.0,39.0,2795.0,5032.0,6060.0,2248.0,606.0,160.0,358.0,231.0,130.0,4704.0,3069.0,5781.0,1225.0,1184.0
200000,1242.0,2743.0,3858.0,3762.0,411.0,773.0,1529.0,833.0,52.0,2790.0,5061.0,6115.0,2250.0,616.0,172.0,319.0,222.0,155.0,4754.0,3277.0,5865.0,1306.0,1212.0
210000,1169.0,2678.0,3840.0,3690.0,453.0,721.0,1534.0,846.0,44.0,2878.0,5152.0,6177.0,2232.0,591.0,158.0,347.0,254.0,141.0,4852.0,3288.0,5860.0,1324.0,1181.0
220000,1248.0,2780.0,3928.0,3711.0,446.0,789.0,1652.0,846.0,40.0,2891.0,5146.0,6212.0,2138.0,679.0,131.0,351.0,252.0,134.0,4896.0,3321.0,5939.0,1332.0,1217.0
230000,1232.0,2737.0,3985.0,3703.0,425.0,790.0,1673.0,838.0,54.0,2992.0,5201.0,6225.0,2161.0,654.0,150.0,369.0,224.0,136.0,4933.0,3312.0,5956.0,1256.0,1162.0
240000,1286.0,2845.0,4044.0,3701.0,451.0,849.0,1715.0,901.0,54.0,3033.0,5197.0,6230.0,2124.0,677.0,143.0,367.0,236.0,133.0,5013.0,3393.0,5907.0,1284.0,1186.0
250000,1250.0,2762.0,3981.0,3718.0,398.0,801.0,1700.0,866.0,34.0,3022.0,5248.0,6233.0,2169.0,678.0,173.0,337.0,256.0,152.0,4982.0,3416.0,5837.0,1318.0,1274.0
260000,1355.0,2890.0,4172.0,3720.0,403.0,869.0,1790.0,889.0,40.0,3085.0,5317.0,6285.0,2108.0,742.0,142.0,402.0,241.0,136.0,5048.0,3496.0,5999.0,1203.0,1171.0
270000,1340.0,2888.0,4111.0,3727.0,448.0,869.0,1745.0,867.0,41.0,3052.0,5308.0,6264.0,2168.0,708.0,121.0,390.0,229.0,109.0,4989.0,3431.0,5905.0,1275.0,1237.0
280000,1368.0,2938.0,4214.0,3684.0,410.0,911.0,1853.0,867.0,43.0,3145.0,5425.0,6453.0,2038.0,740.0,144.0,384.0,267.0,142.0,5020.0,3533.0,6020.0,1243.0,1165.0
290000,1345.0,3023.0,4218.0,3708.0,405.0,876.0,1864.0,875.0,49.0,3184.0,5469.0,6451.0,2013.0,784.0,158.0,395.0,223.0,123.0,5042.0,3630.0,5989.0,1287.0,1239.0
300000,1370.0,3054.0,4360.0,3627.0,423.0,928.0,1982.0,830.0,47.0,3219.0,5486.0,6437.0,2050.0,739.0,146.0,369.0,222.0,117.0,5068.0,3697.0,6020.0,1277.0,1228.0
310000,1468.0,3115.0,4363.0,3647.0,392.0,962.0,1974.0,901.0,52.0,3297.0,5619.0,6528.0,2039.0,745.0,149.0,412.0,223.0,141.0,5216.0,3755.0,6153.0,1279.0,1168.0
320000,1499.0,3139.0,4397.0,3610.0,382.0,1015.0,2012.0,870.0,46.0,3343.0,5635.0,6581.0,1986.0,791.0,139.0,424.0,232.0,114.0,5232.0,3807.0,6181.0,1246.0,1156.0
330000,1578.0,3269.0,4571.0,3460.0,417.0,1055.0,2160.0,896.0,48.0,3531.0,5738.0,6642.0,1891.0,783.0,144.0,403.0,222.0,149.0,5293.0,3933.0,6216.0,1183.0,1224.0
340000,1575.0,3221.0,4545.0,3466.0,434.0,1092.0,2171.0,883.0,54.0,3547.0,5765.0,6654.0,1946.0,805.0,154.0,427.0,226.0,124.0,5428.0,4020.0,6305.0,1168.0,1124.0
350000,1546.0,3304.0,4700.0,3410.0,364.0,1045.0,2251.0,922.0,49.0,3650.0,5883.0,6766.0,1909.0,823.0,138.0,435.0,220.0,122.0,5463.0,4071.0,6328.0,1193.0,1157.0
360000,1584.0,3335.0,4800.0,3437.0,376.0,1090.0,2302.0,915.0,39.0,3716.0,6018.0,6874.0,1828.0,847.0,137.0,453.0,218.0,132.0,5517.0,4106.0,6428.0,1193.0,1153.0
370000,1634.0,3458.0,4856.0,3440.0,397.0,1142.0,2346.0,955.0,46.0,3763.0,6097.0,6928.0,1804.0,815.0,145.0,462.0,203.0,142.0,5449.0,4205.0,6460.0,1168.0,1152.0
380000,1700.0,3507.0,4919.0,3414.0,386.0,1145.0,2405.0,887.0,47.0,3784.0,6121.0,6905.0,1841.0,860.0,139.0,483.0,209.0,117.0,5633.0,4326.0,6522.0,1157.0,1148.0
390000,1707.0,3563.0,5030.0,3357.0,328.0,1203.0,2528.0,931.0,40.0,3946.0,6273.0,7070.0,1773.0,849.0,139.0,480.0,219.0,150.0,5691.0,4503.0,6674.0,1189.0,1134.0
400000,1786.0,3662.0,5077.0,3374.0,364.0,1249.0,2668.0,988.0,41.0,4102.0,6379.0,7144.0,1732.0,911.0,148.0,444.0,225.0,126.0,5933.0,4550.0,6750.0,1152.0,1096.0
410000,1772.0,3647.0,5215.0,3299.0,339.0,1257.0,2685.0,983.0,47.0,4137.0,6467.0,7225.0,1700.0,916.0,129.0,509.0,224.0,118.0,5899.0,4638.0,6752.0,1161.0,1156.0
420000,1827.0,3792.0,5280.0,3239.0,315.0,1239.0,2693.0,1052.0,40.0,4236.0,6671.0,7318.0,1666.0,950.0,170.0,505.0,198.0,131.0,5975.0,4844.0,6869.0,1169.0,1145.0
430000,1968.0,3930.0,5525.0,3100.0,329.0,1370.0,2927.0,1023.0,52.0,4433.0,6798.0,7446.0,1568.0,950.0,141.0,526.0,207.0,115.0,6136.0,5071.0,7062.0,1108.0,1120.0
440000,1932.0,3964.0,5609.0,3135.0,314.0,1388.0,2988.0,1081.0,45.0,4559.0,6935.0,7563.0,1532.0,969.0,152.0,510.0,215.0,128.0,6266.0,5132.0,7181.0,1116.0,1119.0
450000,2063.0,4164.0,5886.0,2968.0,290.0,1478.0,3198.0,1064.0,50.0,4857.0,7332.0,7839.0,1381.0,1063.0,153.0,549.0,214.0,136.0,6575.0,5502.0,7389.0,1104.0,1134.0
